"COALESCE(FROMEMAIL,BINDINGGROUP)",DATE(EVENTTIMESTAMP),COUNT(*)
editor@mdquip.com,2022-06-06,55997
lauram@instarresearch.com,2022-06-06,121951
email@email.peerviewpress.com,2022-06-03,280098
meciobranch.support@pslgroup.com,2022-06-09,17
info@email.nuinvite.com,2022-06-06,149461
info@email.pro-c.me,2022-06-06,233833
info@email.thecmeproject.org,2022-06-06,71938
surveys@signarmr.com,2022-06-11,19021
info@email.nuinvite.com,2022-06-17,160505
no-reply@peer.pslgroup.com,2022-06-24,606
billing_canada@instarresearch.com,2022-06-24,13
announce@email.firstwordpharma.com,2022-06-23,84525
lima-contact@pslgroup.com,2022-06-24,92
info@email.nuinvite.com,2022-06-23,81989
email@email.peerviewpress.com,2022-06-23,171234
email@email.answersincme.com,2022-06-23,40746
info@email.pvviewbook.com,2022-06-23,5512
info@email.nuinvite.com,2022-06-27,74761
info@email.presentingmedicine.com,2022-06-27,22312
info@email.pro-c.me,2022-07-02,138354
editor@mdquip.com,2022-07-15,55895
certificates@peerview.com,2022-07-15,61
dcl@instarresearch.com,2022-07-18,78
root@pslgroup.com,2022-07-18,2056
info@email.presentingmedicine.com,2022-06-22,33107
dgalerts@docguide.com,2022-07-22,180880
info@medannounce.com,2022-07-21,6
pslfis@pslgroup.com,2022-07-21,436
email@email.peerviewpress.com,2022-07-29,88555
lauram@habcommunity.com,2022-07-31,899
lauram@habcommunity.com,2022-08-04,1173
email@email.presentingmedicine.com,2022-07-20,16
info@email.presentingmedicine.com,2022-07-22,4440
email@email.peerquiz.com,2022-06-13,18617
info@email.medinvite.com,2022-07-07,36940
lauram@instarresearch.com,2022-07-22,74184
1secondopinion,2022-08-06,25125
maconomy_notifications@pslgroup.com,2022-08-19,373
info@email.nuinvite.com,2022-07-29,232062
dgnews@docguide.com,2022-08-31,61631
dgme@docguide.com,2022-08-30,96767
no-reply@peer.pslgroup.com,2022-07-27,1260
email@email.peervoice.com,2022-08-31,14568
info@email.pro-c.me,2022-06-26,143131
sepm@pslgroup.com,2022-07-14,97
lauram@medefie1d.com,2022-06-07,155
dgme@docguide.com,2022-06-30,72328
maconomy_notifications@pslgroup.com,2022-06-30,981
info@email.nuinvite.com,2022-06-25,142456
surveys@signarmr.com,2022-07-13,4528
ADauditplus@pslgroup.com,2022-06-16,209
lauram@instarresearch.com,2022-06-16,79196
lauram@firstviewreports.com,2022-07-12,60319
info@nuinvite.com,2022-06-01,20
root@pslgroup.com,2022-08-08,2024
lauram@medepolls.com,2022-07-21,107092
info@email.patient-consult.com,2022-07-01,15428
update@instarresearch.com,2022-06-11,25
noreply@firstwordpharma.com,2022-07-04,3
announcements@email.medannounce.com,2022-09-07,4896
lauram@pslgroup.com,2022-09-10,206
ADauditplus@pslgroup.com,2022-08-11,105
sparkpost.test@pslgroup.com,2022-08-23,4
no-reply@peer.pslgroup.com,2022-06-14,1301
maconomy_notifications@pslgroup.com,2022-06-17,358
lauram@habcommunity.com,2022-06-21,1110
no-reply@peer.pslgroup.com,2022-06-26,584
root@pslgroup.com,2022-06-28,2127
fwp4@pslgroup.com,2022-06-28,101
email@email.peerquiz.com,2022-06-27,45233
info@email.thecmeproject.org,2022-07-13,26185
lauram@instarresearch.com,2022-06-18,162176
info@email.nuinvite.com,2022-07-01,103538
email@email.answersincme.com,2022-07-01,21480
certificates@peerview.com,2022-07-20,39
email@email.peerviewpress.com,2022-06-20,143466
lauram@medefield.com,2022-06-20,460034
dgme@docguide.com,2022-07-21,72411
no-reply@peer.pslgroup.com,2022-07-22,1327
lauram@habcommunity.com,2022-07-29,810
root@pslgroup.com,2022-08-31,1970
lauram@habcommunity.com,2022-08-30,1418
info@email.pv-express.com,2022-08-24,3845
sft@instarresearch.com,2022-09-01,137
newsletters@firstwordpharma.com,2022-06-20,111434
customer.service@firstwordmedtech.com,2022-06-06,7
root@pslgroup.com,2022-07-14,2143
lauram@pslgroup.com,2022-07-14,1031
pslqc@pslgroup.com,2022-07-14,35
sft@medefield.com,2022-07-14,67
certificates@peerview.com,2022-07-22,81
MP_YEAR_0_Alert@pslgroup.com,2022-07-02,7
lauram@instarresearch.com,2022-06-22,79387
update@medefield.com,2022-07-26,110
info@email.presentingmedicine.com,2022-08-21,1053
dgalerts@docguide.com,2022-08-21,9
invite@icrsurveys.com,2022-09-02,176710
